Coors Light;0.615384615384615ml
Budweiser;0.769230769230769ml
Molson Canadian;0.833333333333333ml
Bud Light;0.615384615384615ml
Busch;0.727272727272727ml
Somersby Apple Cider;0ml
Corona Extra;0.285714285714286ml
Labatt Blue;0ml
Heineken;1ml
Dab Original;0ml
Old Milwaukee Ice;0.909090909090909ml
Stella Artois;0.384615384615385ml
Old Milwaukee;0.909090909090909ml
Heineken;0.357142857142857ml
Palm Bay Key Lime Cherry 6 Pk-C;1ml
Strongbow Cider;0ml
Stella Artois;1ml
Laker Ice;0ml
Budweiser;0ml
Lowenbrau Original;0ml
Miller Genuine Draft;0.666666666666667ml
Somersby Blackberry Cider;0ml
Coors Light;0.8ml
Palm Bay Pineapple-Mandarin-Orange Spritz;1ml
Carling Lager;0ml
Palm Bay Strawberry-Pineapple;0.909090909090909ml
Coors Light;0ml
Bud Light;0.8ml
Palm Bay Ruby Grapefruit Sunrise Spritz;0.909090909090909ml
Smirnoff Ice;0.660377358490566ml
Coors Light;0.666666666666667ml
Coors Light;0.941176470588235ml
Molson Canadian;0ml
Stella Artois;0ml
Mott's Clamato Caesar Original;0.714285714285714ml
Coors Banquet;0ml
Carling;1.03225806451613ml
Grolsch Premium Lager;0ml
Labatt Blue;1.29032258064516ml
Colio Dry White Bag in Box;1.6551724137931ml
Coors Light;0.727272727272727ml
Palm Bay Pomegranate Hibiscus;0.909090909090909ml
Corona;0.533333333333333ml
Mill Street Original Organic Lager;0.571428571428571ml
James Ready 5.5.;0.909090909090909ml
Smirnoff Vodka;0.689655172413793ml
Pabst Blue Ribbon;1.25ml
Bavaria of Holland;1.25ml
Heineken;0ml
Molson Canadian;1ml
Pilsner Urquell;0ml
Beau's Lug Tread Lagered Ale;0.625ml
Stiegl Grapefruit Radler;0ml
Smirnoff Ice;0.833333333333333ml
Molson Canadian;1.17647058823529ml
Sapporo Premium Beer;1.15384615384615ml
Bud Light;0.914285714285714ml
Steam Whistle Premium Pilsner;0.769230769230769ml
Alexander Keith's India Pale Ale;0ml
Creemore Springs Premium Lager;0ml
Shock Top;0ml
Molson Canadian;0.909090909090909ml
Mott's Clamato Caesar Original;0.5ml
French Cross Dry White;1.37142857142857ml
Tuborg Gold;0ml
Palm Bay Dragonfruit Watermelon Breeze;0.909090909090909ml
Smirnoff Ice;0.909090909090909ml
Moosehead;0ml
Czechvar Premium Lager;0ml
Smirnoff Ice;0.555555555555556ml
Carnivor Cabernet Sauvignon;0ml
Somersby Pear Cider;0ml
Busch;1.03225806451613ml
French Cross Red Bag in Box;1.33333333333333ml
J.P. Wiser's Deluxe;1.02564102564103ml
Rolling Rock Extra Pale;0ml
Waterloo Grapefruit Radler;0ml
Motts Original Caesar;0ml
Carling Ice;0ml
Budweiser;1ml
Mill Street Original Organic Lager;0ml
Smirnoff Ice;0.6ml
Bud Light;0ml
J.P. Wiser's Deluxe Whisky;0.689655172413793ml
Woody's Pink Grapefruit;0.625ml
Villa Maria Private Bin Sauvignon Blanc Marlborough;0ml
Mott's Clamato Caesar Original;0.645161290322581ml
Sleeman Original Draught;0.769230769230769ml
Colio Extra Dry White Bag in Box;1.5ml
Mott's Clamato Caesar Extra Spicy;0.5ml
Palm Bay Ocean Peach Pomelo;0.909090909090909ml
Smirnoff Vodka;1.05263157894737ml
Negrar Valpolicella DOC;0.857142857142857ml
French Cross Pinot Grigio Bag in Box;1.26829268292683ml
Steam Whistle Premium Pilsner;0ml
Busch;0.8ml
Brickworks Ciderhouse Batch : 1904;0ml
Moosehead;0.909090909090909ml
Bacardi Superior Rum;0ml
Busch;0.8ml
Rockstar Original;0ml
Mott's Extra Spicy Caesar;0ml
